Pavarde           Vardas            Galutinis vid.  Galutinis med.  
----------------------------------------------------------------
Pavarde3176       Vardas39248       5.00            5.20
Pavarde10731      Vardas19904       5.00            5.20
Pavarde45721      Vardas96740       5.00            4.80
Pavarde62760      Vardas88120       5.00            5.40
Pavarde67756      Vardas46951       5.00            5.20
Pavarde28934      Vardas30401       5.00            5.20
Pavarde7749       Vardas92567       5.00            5.00
Pavarde30954      Vardas23993       5.00            5.00
Pavarde30420      Vardas86404       5.00            4.60
Pavarde21935      Vardas787         5.00            5.20
Pavarde87958      Vardas315         5.00            4.80
Pavarde12113      Vardas91003       5.00            4.80
Pavarde17029      Vardas68041       5.00            4.60
Pavarde31272      Vardas67269       5.00            4.80
Pavarde57099      Vardas35972       5.00            4.60
Pavarde94619      Vardas34047       5.00            4.60
Pavarde4724       Vardas54885       5.00            5.20
Pavarde21711      Vardas72730       5.00            4.60
Pavarde74160      Vardas8264        5.00            5.00
Pavarde44326      Vardas93224       5.00            5.00
Pavarde4371       Vardas15483       5.00            5.60
Pavarde9052       Vardas35208       5.00            5.60
Pavarde92221      Vardas58401       5.00            5.20
Pavarde9632       Vardas42182       5.00            4.60
Pavarde23780      Vardas89379       5.00            5.00
Pavarde6381       Vardas39986       5.00            4.80
Pavarde82118      Vardas85402       5.00            4.80
Pavarde92504      Vardas46643       5.00            5.00
Pavarde10186      Vardas90657       5.00            5.60
Pavarde80942      Vardas535         5.00            5.20
Pavarde13857      Vardas54201       5.00            5.20
Pavarde49600      Vardas45671       5.00            4.80
Pavarde42379      Vardas19115       5.00            5.00
Pavarde9182       Vardas25057       5.00            5.20
Pavarde7755       Vardas44651       5.00            5.60
Pavarde35445      Vardas17472       5.00            4.20
Pavarde2738       Vardas96827       5.00            4.60
Pavarde89398      Vardas30018       5.00            5.00
Pavarde14983      Vardas91116       5.00            5.40
Pavarde95760      Vardas73264       5.00            4.80
Pavarde44535      Vardas44427       5.00            5.20
Pavarde8811       Vardas72372       5.00            5.00
Pavarde85984      Vardas30113       5.00            5.00
Pavarde3331       Vardas40033       5.00            4.80
Pavarde91753      Vardas25853       5.00            4.80
Pavarde78906      Vardas46565       5.00            4.40
Pavarde55243      Vardas1128        5.00            5.00
Pavarde58618      Vardas16486       5.00            5.20
Pavarde3955       Vardas43014       5.00            5.40
Pavarde63881      Vardas89042       5.00            5.00
Pavarde53606      Vardas95319       5.00            5.00
Pavarde50463      Vardas7072        5.00            4.80
Pavarde92926      Vardas52813       5.00            4.40
Pavarde27297      Vardas93889       5.00            5.20
Pavarde12692      Vardas28842       5.00            5.20
Pavarde98701      Vardas7694        5.00            5.40
Pavarde97861      Vardas40592       5.00            4.80
Pavarde60367      Vardas4145        5.00            4.60
Pavarde90183      Vardas56609       5.00            4.60
Pavarde66698      Vardas30314       5.00            4.80
Pavarde20364      Vardas14038       5.00            4.60
Pavarde25781      Vardas17573       5.00            4.80
Pavarde38671      Vardas29914       5.00            5.20
Pavarde41401      Vardas46224       5.00            5.20
Pavarde1539       Vardas70218       5.00            5.20
Pavarde3878       Vardas11110       5.00            5.00
Pavarde89259      Vardas27912       5.00            5.00
Pavarde66421      Vardas50039       5.00            5.00
Pavarde59885      Vardas85037       5.00            5.20
Pavarde74021      Vardas61779       5.00            4.60
Pavarde24055      Vardas44800       5.00            5.00
Pavarde65718      Vardas35003       5.00            5.40
Pavarde70317      Vardas19831       5.00            5.40
Pavarde46854      Vardas65437       5.00            4.60
Pavarde86222      Vardas92917       5.00            4.20
Pavarde31698      Vardas22155       5.00            4.20
Pavarde80156      Vardas94595       5.00            5.20
Pavarde54590      Vardas25357       5.00            5.00
Pavarde48238      Vardas11553       5.00            4.80
Pavarde37014      Vardas41297       5.00            5.00
Pavarde18354      Vardas83184       5.00            4.80
Pavarde71586      Vardas52568       5.00            4.80
Pavarde27796      Vardas64597       5.00            4.60
Pavarde44000      Vardas28962       5.00            5.20
Pavarde33131      Vardas21506       5.00            5.60
Pavarde64583      Vardas84139       5.00            5.60
Pavarde32325      Vardas75986       5.00            5.20
Pavarde71798      Vardas84550       5.00            4.80
Pavarde16564      Vardas40700       5.00            5.00
Pavarde51233      Vardas45724       5.00            4.80
Pavarde96319      Vardas76293       5.00            4.60
Pavarde48555      Vardas43701       5.00            5.20
