Pavarde           Vardas            Galutinis vid.  Galutinis med.  
----------------------------------------------------------------
Pavarde68229      Vardas17540       1.60            1.40
Pavarde79156      Vardas23324       1.60            1.00
Pavarde57154      Vardas41518       1.64            1.40
Pavarde74058      Vardas53782       1.64            1.40
Pavarde76246      Vardas88638       1.64            1.40
Pavarde7831       Vardas89717       1.68            1.40
Pavarde55909      Vardas35800       1.68            1.40
Pavarde32168      Vardas78943       1.68            1.40
Pavarde38904      Vardas72975       1.72            1.80
Pavarde68189      Vardas63034       1.72            1.40
Pavarde12347      Vardas90515       1.72            1.40
Pavarde62615      Vardas63236       1.72            1.80
Pavarde11441      Vardas72325       1.72            1.40
Pavarde6713       Vardas50535       1.72            1.00
Pavarde84647      Vardas99426       1.72            1.40
Pavarde78162      Vardas61964       1.72            1.80
Pavarde14829      Vardas73480       1.76            1.40
Pavarde99612      Vardas54188       1.76            1.40
Pavarde69839      Vardas8305        1.76            1.80
Pavarde72188      Vardas99473       1.80            1.40
Pavarde30118      Vardas32056       1.80            1.40
Pavarde17441      Vardas25974       1.80            1.40
Pavarde64257      Vardas9703        1.80            1.40
Pavarde26667      Vardas12491       1.80            1.40
Pavarde11271      Vardas44954       1.80            1.40
Pavarde11374      Vardas82399       1.80            1.40
Pavarde94340      Vardas47464       1.80            1.40
Pavarde21937      Vardas13872       1.80            1.40
Pavarde70511      Vardas15927       1.80            1.40
Pavarde394        Vardas22284       1.80            1.40
Pavarde13611      Vardas4059        1.80            1.40
Pavarde95609      Vardas5445        1.80            1.80
Pavarde32489      Vardas62586       1.84            1.40
Pavarde86285      Vardas65195       1.84            1.40
Pavarde89997      Vardas75662       1.84            1.40
Pavarde21802      Vardas76110       1.84            1.80
Pavarde78579      Vardas83372       1.84            1.80
Pavarde4914       Vardas36148       1.84            1.40
Pavarde34187      Vardas69744       1.84            1.80
Pavarde89905      Vardas46970       1.84            1.80
Pavarde11693      Vardas47471       1.84            1.80
Pavarde29374      Vardas93497       1.84            1.40
Pavarde65893      Vardas35919       1.84            1.80
Pavarde28835      Vardas35655       1.84            1.80
Pavarde1281       Vardas62465       1.88            1.40
Pavarde18429      Vardas65721       1.88            1.80
Pavarde86362      Vardas85021       1.88            1.40
Pavarde58715      Vardas56376       1.88            1.40
Pavarde85353      Vardas6271        1.88            1.40
Pavarde94638      Vardas52445       1.88            1.80
Pavarde39321      Vardas85322       1.88            1.80
Pavarde7332       Vardas17000       1.88            1.40
Pavarde83386      Vardas65856       1.88            1.40
Pavarde72722      Vardas23234       1.88            1.40
Pavarde50882      Vardas56441       1.88            1.80
Pavarde86054      Vardas32833       1.88            1.80
Pavarde35243      Vardas7797        1.88            1.80
Pavarde73879      Vardas72906       1.88            1.40
Pavarde74985      Vardas57561       1.88            1.40
Pavarde65263      Vardas49825       1.92            1.40
Pavarde30383      Vardas69089       1.92            1.40
Pavarde40277      Vardas77337       1.92            1.40
Pavarde81040      Vardas56668       1.92            1.40
Pavarde15766      Vardas39201       1.92            1.40
Pavarde91562      Vardas78203       1.92            1.40
Pavarde15127      Vardas9135        1.92            1.40
Pavarde63801      Vardas41292       1.92            1.80
Pavarde34679      Vardas93664       1.92            1.40
Pavarde89640      Vardas54824       1.92            1.40
Pavarde856        Vardas55146       1.92            1.40
Pavarde41009      Vardas63509       1.92            1.40
Pavarde90533      Vardas82118       1.92            2.20
Pavarde36419      Vardas41386       1.92            1.40
Pavarde41777      Vardas80360       1.92            1.00
Pavarde78287      Vardas16195       1.92            1.40
Pavarde38035      Vardas53965       1.92            1.40
Pavarde13984      Vardas99970       1.92            1.40
Pavarde33930      Vardas889         1.92            1.80
Pavarde14186      Vardas43544       1.92            1.80
Pavarde28550      Vardas48032       1.92            1.80
Pavarde43865      Vardas38304       1.92            1.40
Pavarde51304      Vardas47509       1.92            1.80
Pavarde50767      Vardas5942        1.92            1.80
Pavarde10195      Vardas70004       1.92            1.80
Pavarde82934      Vardas91864       1.92            1.40
Pavarde74557      Vardas23401       1.92            1.80
Pavarde98501      Vardas59502       1.92            1.40
Pavarde9022       Vardas79340       1.96            1.80
Pavarde18753      Vardas4803        1.96            1.80
Pavarde52349      Vardas6471        1.96            1.40
Pavarde97500      Vardas69510       1.96            1.40
Pavarde66019      Vardas66277       1.96            1.40
Pavarde37018      Vardas59129       1.96            1.80
Pavarde82470      Vardas11174       1.96            1.80
Pavarde6262       Vardas51374       1.96            2.20
Pavarde51210      Vardas3038        1.96            1.40
Pavarde35690      Vardas89070       1.96            1.40
Pavarde59950      Vardas76053       1.96            1.80
Pavarde18355      Vardas26093       1.96            1.80
Pavarde7928       Vardas19125       1.96            1.80
Pavarde6499       Vardas4446        1.96            1.80
Pavarde52987      Vardas50562       1.96            1.80
Pavarde86026      Vardas54051       1.96            1.80
Pavarde79704      Vardas344         1.96            1.40
Pavarde47840      Vardas58743       1.96            1.80
Pavarde14972      Vardas51655       1.96            1.80
Pavarde12812      Vardas20613       1.96            1.40
Pavarde55974      Vardas10440       1.96            1.80
Pavarde51275      Vardas22953       1.96            1.40
Pavarde27951      Vardas92247       1.96            1.80
Pavarde92531      Vardas10686       1.96            2.20
Pavarde46020      Vardas11237       1.96            1.80
Pavarde82763      Vardas67528       1.96            1.80
Pavarde54648      Vardas206         1.96            1.40
Pavarde35542      Vardas39839       1.96            1.80
Pavarde92547      Vardas82993       1.96            1.40
Pavarde87195      Vardas53694       1.96            1.40
Pavarde69833      Vardas86662       1.96            1.40
Pavarde10158      Vardas25337       1.96            1.40
Pavarde67887      Vardas71882       1.96            1.80
Pavarde59902      Vardas28928       1.96            1.80
Pavarde63417      Vardas98402       1.96            1.40
Pavarde21308      Vardas86314       1.96            1.40
Pavarde93551      Vardas27436       2.00            1.40
Pavarde63909      Vardas89482       2.00            1.40
Pavarde90694      Vardas30102       2.00            1.80
Pavarde32677      Vardas21316       2.00            1.40
Pavarde68559      Vardas62279       2.00            1.80
Pavarde13883      Vardas47162       2.00            1.80
Pavarde57999      Vardas70632       2.00            1.80
Pavarde52023      Vardas16414       2.00            1.40
Pavarde75844      Vardas69687       2.00            1.80
Pavarde69958      Vardas33611       2.00            1.80
Pavarde72565      Vardas20991       2.00            1.80
Pavarde23104      Vardas16139       2.00            1.80
Pavarde23528      Vardas39011       2.00            1.80
Pavarde32810      Vardas13337       2.00            1.80
Pavarde63994      Vardas49200       2.00            1.40
Pavarde44717      Vardas97669       2.00            1.80
Pavarde57646      Vardas1236        2.00            1.80
Pavarde71497      Vardas59203       2.00            1.80
Pavarde4265       Vardas76162       2.00            1.40
Pavarde15033      Vardas21713       2.00            2.20
Pavarde32973      Vardas25665       2.00            1.40
Pavarde11582      Vardas36035       2.00            1.80
Pavarde63251      Vardas45612       2.00            1.40
Pavarde46357      Vardas64729       2.00            1.80
Pavarde11016      Vardas5053        2.00            1.80
Pavarde64630      Vardas32754       2.00            1.40
Pavarde50         Vardas45150       2.00            2.20
Pavarde87083      Vardas70443       2.00            1.80
Pavarde39565      Vardas37227       2.00            1.80
Pavarde56617      Vardas49253       2.00            1.40
Pavarde72625      Vardas40603       2.00            1.80
Pavarde17859      Vardas33061       2.00            1.40
Pavarde4839       Vardas42538       2.00            1.80
Pavarde81797      Vardas47154       2.04            2.20
Pavarde24272      Vardas69440       2.04            1.80
Pavarde7913       Vardas12996       2.04            1.80
Pavarde82910      Vardas66332       2.04            1.40
Pavarde58736      Vardas61118       2.04            1.40
Pavarde58034      Vardas75773       2.04            1.80
Pavarde67756      Vardas90958       2.04            1.80
Pavarde6701       Vardas32881       2.04            1.80
Pavarde33845      Vardas48627       2.04            1.40
Pavarde50165      Vardas55001       2.04            1.40
Pavarde48997      Vardas4740        2.04            1.40
Pavarde79798      Vardas44572       2.04            1.80
Pavarde21112      Vardas43045       2.04            1.40
Pavarde75717      Vardas98545       2.04            1.40
Pavarde62888      Vardas93356       2.04            1.80
Pavarde64175      Vardas89024       2.04            1.40
Pavarde83809      Vardas40437       2.04            1.80
Pavarde49879      Vardas10976       2.04            1.40
Pavarde99855      Vardas4808        2.04            1.80
Pavarde14600      Vardas81221       2.04            2.20
Pavarde43871      Vardas51049       2.04            1.40
Pavarde17467      Vardas11027       2.04            2.20
Pavarde62069      Vardas3634        2.04            1.80
Pavarde79452      Vardas5676        2.04            1.40
Pavarde49829      Vardas39453       2.04            1.80
Pavarde3803       Vardas49458       2.04            1.80
Pavarde47775      Vardas23512       2.04            1.80
Pavarde3672       Vardas67547       2.04            1.80
Pavarde50274      Vardas48931       2.04            2.20
Pavarde41857      Vardas77236       2.04            1.80
Pavarde41623      Vardas89106       2.04            1.40
Pavarde63632      Vardas97491       2.04            1.80
Pavarde57027      Vardas12939       2.04            1.40
Pavarde92678      Vardas77144       2.04            1.80
Pavarde63882      Vardas97146       2.04            1.40
Pavarde88723      Vardas33666       2.04            1.80
Pavarde48811      Vardas24232       2.04            1.80
Pavarde77805      Vardas55091       2.04            1.40
Pavarde90258      Vardas87086       2.04            1.80
Pavarde80953      Vardas16368       2.04            2.20
Pavarde51354      Vardas60314       2.04            1.40
Pavarde2198       Vardas91020       2.04            1.40
Pavarde98758      Vardas17286       2.04            1.40
Pavarde86678      Vardas66088       2.04            1.40
Pavarde77451      Vardas96272       2.04            1.40
Pavarde30382      Vardas10284       2.08            1.80
Pavarde89398      Vardas85069       2.08            1.80
Pavarde41273      Vardas59403       2.08            1.80
Pavarde44569      Vardas47557       2.08            1.80
Pavarde4078       Vardas38326       2.08            1.80
Pavarde61779      Vardas18140       2.08            2.20
Pavarde17284      Vardas95692       2.08            1.40
Pavarde12349      Vardas7356        2.08            2.20
Pavarde35719      Vardas83275       2.08            1.40
Pavarde53174      Vardas91410       2.08            1.80
Pavarde24553      Vardas44051       2.08            2.20
Pavarde63692      Vardas94968       2.08            1.40
Pavarde78086      Vardas35456       2.08            2.20
Pavarde39428      Vardas76343       2.08            2.20
Pavarde91455      Vardas28204       2.08            1.80
Pavarde20499      Vardas53220       2.08            1.40
Pavarde41232      Vardas31330       2.08            1.80
Pavarde79271      Vardas53003       2.08            1.80
Pavarde44819      Vardas60004       2.08            2.20
Pavarde88768      Vardas15708       2.08            2.20
Pavarde36505      Vardas94586       2.08            1.80
Pavarde71713      Vardas9811        2.08            1.80
Pavarde19047      Vardas31746       2.08            1.40
Pavarde60002      Vardas25120       2.08            1.80
Pavarde93258      Vardas1892        2.08            2.20
Pavarde8277       Vardas41789       2.08            1.80
Pavarde24414      Vardas98316       2.08            1.40
Pavarde1311       Vardas82499       2.08            1.80
Pavarde76016      Vardas85122       2.08            1.80
Pavarde87874      Vardas14465       2.08            1.80
Pavarde70179      Vardas66944       2.08            1.80
Pavarde35264      Vardas99364       2.08            1.80
Pavarde99839      Vardas49351       2.08            1.80
Pavarde93150      Vardas72003       2.08            1.40
Pavarde80831      Vardas9383        2.08            1.80
Pavarde16283      Vardas51327       2.08            1.80
Pavarde40602      Vardas86982       2.08            1.80
Pavarde71715      Vardas255         2.08            1.80
Pavarde47929      Vardas38977       2.08            1.40
Pavarde9448       Vardas84463       2.08            1.80
Pavarde28499      Vardas89236       2.08            1.80
Pavarde60669      Vardas68288       2.08            1.40
Pavarde80139      Vardas54485       2.08            2.20
Pavarde11277      Vardas38165       2.08            1.80
Pavarde14995      Vardas44425       2.08            1.80
Pavarde8557       Vardas62001       2.08            1.80
Pavarde28449      Vardas71832       2.08            1.80
Pavarde34402      Vardas51822       2.08            2.20
Pavarde65602      Vardas52151       2.08            1.80
Pavarde53710      Vardas30153       2.08            1.80
Pavarde84560      Vardas32285       2.08            1.80
Pavarde28723      Vardas36375       2.08            1.80
Pavarde63814      Vardas20907       2.08            1.80
Pavarde9527       Vardas17685       2.08            1.80
Pavarde20387      Vardas56189       2.08            1.80
Pavarde69072      Vardas72180       2.08            1.80
Pavarde32085      Vardas9612        2.08            2.20
Pavarde11778      Vardas14609       2.08            1.80
Pavarde70217      Vardas66093       2.08            1.80
Pavarde47789      Vardas7620        2.08            1.40
Pavarde25392      Vardas92354       2.08            1.80
Pavarde13076      Vardas37981       2.08            1.80
Pavarde47538      Vardas26202       2.08            1.80
Pavarde57919      Vardas59291       2.08            1.80
Pavarde5364       Vardas91484       2.08            1.80
